Country,Country_ID,Release_Year,Young_Population_Percentage
indonesia,57,1988,37.57308578491211
indonesia,57,1989,37.011505126953125
indonesia,57,1990,36.4511604309082
indonesia,57,1991,35.88789367675781
indonesia,57,1992,35.354393005371094
indonesia,57,1993,34.8275260925293
indonesia,57,1994,34.27184295654297
indonesia,57,1995,33.67221450805664
indonesia,57,1996,33.10887145996094
indonesia,57,1997,32.49467849731445
indonesia,57,1998,31.855422973632812
indonesia,57,1999,31.241384506225586
indonesia,57,2000,30.692420959472656
indonesia,57,2001,30.451961517333984
indonesia,57,2002,30.26551628112793
indonesia,57,2003,30.120738983154297
indonesia,57,2004,29.997243881225586
indonesia,57,2005,29.88126564025879
indonesia,57,2006,29.52117156982422
indonesia,57,2007,29.24504280090332
indonesia,57,2008,29.044723510742188
indonesia,57,2009,28.912996292114258
indonesia,57,2010,28.828102111816406
indonesia,57,2011,28.524316787719727
indonesia,57,2012,28.2748966217041
indonesia,57,2013,28.03795623779297
indonesia,57,2014,27.767885208129883
indonesia,57,2015,25.98894500732422
indonesia,57,2016,25.680463790893555
indonesia,57,2017,25.37803840637207
indonesia,57,2018,25.08305549621582
indonesia,57,2019,24.792150497436523
indonesia,57,2020,24.504884719848633
indonesia,57,2021,24.231245040893555
indonesia,57,2022,23.96762466430664
ireland,19,1950,28.669586181640625
ireland,19,1951,28.872526168823242
ireland,19,1952,29.110366821289062
ireland,19,1953,29.34214973449707
ireland,19,1954,29.579763412475586
ireland,19,1955,29.819576263427734
ireland,19,1956,30.04312515258789
ireland,19,1957,30.260284423828125
ireland,19,1958,30.479896545410156
ireland,19,1959,30.696514129638672
ireland,19,1960,30.913455963134766
ireland,19,1961,31.128694534301758
ireland,19,1962,31.147308349609375
ireland,19,1963,31.16140365600586
ireland,19,1964,31.182344436645508
ireland,19,1965,31.198274612426758
ireland,19,1966,31.22052764892578
ireland,19,1967,31.220470428466797
ireland,19,1968,31.227251052856445
ireland,19,1969,31.2217960357666
ireland,19,1970,31.228178024291992
ireland,19,1971,31.267208099365234
ireland,19,1972,31.18304443359375
ireland,19,1973,31.093393325805664
ireland,19,1974,31.012516021728516
ireland,19,1975,30.92974853515625
ireland,19,1976,30.838342666625977
ireland,19,1977,30.746660232543945
ireland,19,1978,30.66083335876465
ireland,19,1979,30.577163696289062
ireland,19,1980,30.443986892700195
ireland,19,1981,30.310157775878906
ireland,19,1982,30.04022979736328
ireland,19,1983,29.765981674194336
ireland,19,1984,29.487106323242188
ireland,19,1985,29.217514038085938
ireland,19,1986,28.944246292114258
ireland,19,1987,28.602848052978516
ireland,19,1988,28.150224685668945
ireland,19,1989,27.738994598388672
ireland,19,1990,27.229162216186523
ireland,19,1991,26.675554275512695
ireland,19,1992,26.1893367767334
ireland,19,1993,25.656808853149414
ireland,19,1994,25.05647087097168
ireland,19,1995,24.380084991455078
ireland,19,1996,23.701141357421875
ireland,19,1997,23.087055206298828
ireland,19,1998,22.570226669311523
ireland,19,1999,22.198406219482422
ireland,19,2000,21.849666595458984
ireland,19,2001,21.510330200195312
ireland,19,2002,21.122928619384766
